featureID	uniq_len	num_alignments	counts	tpm
BHNFMJIF_00513	993	251.0	246.48	258.25
BHNFMJIF_00514	3297	1851.5	1847.43	582.99
BHNFMJIF_00515	1580	349.5	336.03	221.27
BHNFMJIF_00516	1172	80.0	74.52	66.15
BHNFMJIF_00517	715	130.0	114.08	166.00
BHNFMJIF_00518	1303	961.5	914.41	730.15
BHNFMJIF_00519	1356	1430.0	1355.51	1040.05
BHNFMJIF_00520	645	183.0	92.50	149.21
BHNFMJIF_00521	1260	121.5	111.62	92.17
BHNFMJIF_00522	2133	1222.0	1202.90	586.75
BHNFMJIF_00523	1086	89.5	87.94	84.25
BHNFMJIF_00524	1044	599.0	589.34	587.33
BHNFMJIF_00525	743	216.5	187.25	262.21
BHNFMJIF_00526	554	205.5	190.74	358.21
BHNFMJIF_00527	1698	700.5	665.09	407.53
BHNFMJIF_00528	1803	829.0	783.34	452.03
BHNFMJIF_00529	93	7.0	4.12	46.13
BHNFMJIF_00530	375	151.5	138.20	383.43
BHNFMJIF_00531	579	691.0	688.32	1236.87
BHNFMJIF_00532	1443	131.5	120.86	87.14
BHNFMJIF_00533	3282	307.0	303.04	96.07
BHNFMJIF_00534	1341	91.5	89.50	69.44
